嗚呼	ああ
気品	きひん
気風	きふう
起伏	きふく
規模	きぼ
気まぐれ	きまぐれ
生真面目	きまじめ
期末	きまつ
決まり悪い	きまりわるい
決まる	きまる
記名	きめい
脚色	きゃくしょく
脚本	きゃくほん
客観	きゃっかん
規約	きやく
救援	きゅうえん
休学	きゅうがく
究極	きゅうきょく
窮屈	きゅうくつ
球根	きゅうこん
救済	きゅうさい
給食	きゅうしょく
給仕	きゅうじ
休戦	きゅうせん
旧知	きゅうち
宮殿	きゅうでん
窮乏	きゅうぼう
丘陵	きゅうりょう
共	きょう
供	きょう
驚異	きょうい
教員	きょういん
教科	きょうか
協会	きょうかい
共感	きょうかん
共学	きょうがく
協議	きょうぎ
教訓	きょうくん
境遇	きょうぐう
強行	きょうこう
強硬	きょうこう
凶作	きょうさく
共産	きょうさん
教材	きょうざい
教習	きょうしゅう
郷愁	きょうしゅう
教職	きょうしょく
享受	きょうじゅ
興じる	きょうじる
強制	きょうせい
共存	きょうそん
姉妹	きょうだい
協調	きょうちょう
協定	きょうてい
脅迫	きょうはく
共鳴	きょうめい
郷里	きょうり
強烈	きょうれつ
共和	きょうわ
曲	きょく
局限	きょくげん
極端	きょくたん
居住	きょじゅう
拒絶	きょぜつ
拒否	きょひ
許容	きょよう
距離	きょり
寄与	きよ
清らか	きよらか
気楽	きらく
煌びやか	きらびやか
切り	きり
桐	きり
切り替える	きりかえる
気流	きりゅう
奇麗	きれい
切れ目	きれめ
際	きわ
木綿	きわた
極めて	きわめて
僅	きん
近眼	きんがん
緊急	きんきゅう
近々	きんきん
近郊	きんこう
均衡	きんこう
近視	きんし
禁じる	きんじる
禁ずる	きんずる
勤勉	きんべん
勤務	きんむ
禁物	きんもつ
勤労	きんろう
議案	ぎあん
戯曲	ぎきょく
議決	ぎけつ
議事堂	ぎじどう
犠牲	ぎせい
偽造	ぎぞう
議題	ぎだい
技能	ぎのう
逆転	ぎゃくてん
行	ぎょう
業者	ぎょうしゃ
行政	ぎょうせい
業績	ぎょうせき
業務	ぎょうむ
玉	ぎょく
漁船	ぎょせん
漁村	ぎょそん
義理	ぎり
疑惑	ぎわく
吟味	ぎんみ
区	く
食い違う	くいちがう
空腹	くうふく
区画	くかく
区間	くかん
茎	くき
区切り	くぎり
潜る	くぐる
種々	くさぐさ
嚏	くしゃみ
旧事	くじ
籤引	くじびき
擽ぐったい	くすぐったい
草臥れる	くたびれる
下らない	くだらない
件	くだん
口ずさむ	くちずさむ
嘴	くちばし
朽ちる	くちる
	くっきり
屈折	くっせつ
くっ付く	くっつく
くっ付ける	くっつける
覆す	くつがえす
諄い	くどい
国境	くにざかい
首飾り	くびかざり
首輪	くびわ
組み合わせ	くみあわせ
組み合わせる	くみあわせる
組み込む	くみこむ
蔵	くら
苦しめる	くるしめる
包む	くるむ
呉れ呉れも	くれぐれも
呉れる	くれる
玄人	くろうと
黒字	くろじ
君主	くんしゅ
愚痴	ぐち
	ぐっと
	ぐらい
群	ぐん
軍艦	ぐんかん
群集	ぐんしゅう
軍事	ぐんじ
軍備	ぐんび
軍服	ぐんぷく
刑	けい
頃	けい
傾	けい
系	けい
経過	けいか
軽快	けいかい
警戒	けいかい
計器	けいき
契機	けいき
敬具	けいぐ
軽減	けいげん
掲載	けいさい
傾斜	けいしゃ
形成	けいせい
形勢	けいせい
軽率	けいそつ
携帯	けいたい
形態	けいたい
刑罰	けいばつ
経費	けいひ
警部	けいぶ
軽蔑	けいべつ
経歴	けいれき
経路	けいろ
汚す	けがす
汚らわしい	けがらわしい
汚れ	けがれ
汚れる	けがれる
獣	けだもの
吝嗇	けち
結核	けっかく
血管	けっかん
決行	けっこう
決算	けっさん
決勝	けっしょう
結晶	けっしょう
結成	けっせい
結束	けっそく
傑	けつ
決意	けつい
決議	けつぎ
結合	けつごう
決断	けつだん
欠乏	けつぼう
蹴飛ばす	けとばす
貶す	けなす
煙たい	けむたい
煙る	けむる
家来	けらい
	けれど
圏	けん
権	けん
権威	けんい
兼業	けんぎょう
権限	けんげん
健在	けんざい
懸賞	けんしょう
検事	けんじ
健全	けんぜん
見地	けんち
賢明	けんめい
倹約	けんやく
兼用	けんよう
権力	けんりょく
劇団	げきだん
激励	げきれい
月謝	げっしゃ
	げっそり
月賦	げっぷ
下痢	げり
原	げん
原形	げんけい
現行	げんこう
原作	げんさく
原子	げんし
元首	げんしゅ
原書	げんしょ
減少	げんしょう
現場	げんじょう
元素	げんそ
原則	げんそく
現像	げんぞう
現地	げんち
限定	げんてい
原点	げんてん
原典	げんてん
減点	げんてん
原爆	げんばく
原文	げんぶん
厳密	げんみつ
原油	げんゆ
言論	げんろん
故	こ
戸	こ
児	こ
巨	こ
恋する	こいする
溝	こう
校	こう
好意	こうい
行為	こうい
行員	こういん
交易	こうえき
公演	こうえん
後悔	こうかい
公開	こうかい
航海	こうかい
工学	こうがく
皇居	こうきょ
好況	こうきょう
抗議	こうぎ
鉱業	こうぎょう
興業	こうぎょう
高原	こうげん
煌々と	こうこうと
考古学	こうこがく
交互	こうご
工作	こうさく
耕作	こうさく
鉱山	こうざん
講習	こうしゅう
交渉	こうしょう
高尚	こうしょう
行進	こうしん
香辛料	こうしんりょう
口述	こうじゅつ
控除	こうじょ
向上	こうじょう
降水	こうすい
洪水	こうずい
公然	こうぜん
抗争	こうそう
構想	こうそう
拘束	こうそく
後退	こうたい
光沢	こうたく
公団	こうだん
好調	こうちょう
口頭	こうとう
講読	こうどく
購読	こうどく
購入	こうにゅう
公認	こうにん
光熱費	こうねつひ
荒廃	こうはい
購買	こうばい
好評	こうひょう
交付	こうふ
降伏	こうふく
興奮	こうふん
公募	こうぼ
巧妙	こうみょう
公用	こうよう
小売	こうり
効率	こうりつ
公立	こうりつ
小柄	こがら
小切手	こぎって
国産	こくさん
国定	こくてい
国土	こくど
告白	こくはく
国防	こくぼう
国有	こくゆう
国連	こくれん
漕ぐ	こぐ
焦げ茶	こげちゃ
個々	ここ
箇箇	ここ
心地	ここち
心得	こころえ
心掛け	こころがけ
心掛ける	こころがける
志	こころざし
志す	こころざす
心強い	こころづよい
心細い	こころぼそい
試み	こころみ
試みる	こころみる
快い	こころよい
凝らす	こごらす
凝る	こごる
拵える	こしらえる
孤児	こじ
拗れる	こじれる
故人	こじん
梢	こずえ
個性	こせい
戸籍	こせき
小銭	こぜに
固体	こたい
答え	こたえ
堪える	こたえる
火燵	こたつ
古代	こだい
	こだわる
誇張	こちょう
滑稽	こっけい
国交	こっこう
骨董品	こっとうひん
骨	こつ
固定	こてい
事柄	ことがら
悉く	ことごとく
言伝	ことづて
殊に	ことに
事によると	ことによると
孤独	こどく
粉々	こなごな
此の	この
この間	このあいだ
この頃	このごろ
好ましい	このましい
個別	こべつ
零す	こぼす
零れる	こぼれる
細やか	こまやか
混む	こむ
込める	こめる
篭る	こもる
固有	こゆう
雇用	こよう
暦	こよみ
堪える	こらえる
孤立	こりつ
懲りる	こりる
此れ	これ
此れ等	これら
魂	こん
根気	こんき
根拠	こんきょ
混血	こんけつ
昆虫	こんちゅう
根底	こんてい
混同	こんどう
今日は	こんにちは
今晩は	こんばんは
根本	こんぽん
御	ご
語彙	ごい
濠	ごう
業	ごう
号	ごう
合意	ごうい
合議	ごうぎ
強気	ごうぎ
合成	ごうせい
護衛	ごえい
語句	ごく
極楽	ごくらく
ご苦労様	ごくろうさま
語源	ごげん
誤差	ごさ
ご座います	ございます
ご馳走	ごちそう
ご馳走さま	ごちそうさま
毎	ごと
碁盤	ごばん
ご無沙汰	ごぶさた
誤魔化す	ごまかす
御免ください	ごめんください
御免なさい	ごめんなさい
御覧なさい	ごらんなさい
佐	さ
再	さい
差異	さい
歳	さい
再会	さいかい
災害	さいがい
細菌	さいきん
細工	さいく
採掘	さいくつ
採決	さいけつ
再建	さいけん
再現	さいげん
採算	さいさん
採集	さいしゅう
再生	さいせい
最善	さいぜん
採択	さいたく
再発	さいはつ
栽培	さいばい
細胞	さいぼう
採用	さいよう
遮る	さえぎる
囀る	さえずる
冴える	さえる
竿	さお
栄える	さかえる
杯	さかずき
逆立ち	さかだち
逆上る	さかのぼる
盛る	さかる
差額	さがく
下がる	さがる
一昨昨日	さきおととい
先に	さきに
詐欺	さぎ
作	さく
策	さく
柵	さく
削減	さくげん
錯誤	さくご
作戦	さくせん
作物	さくぶつ
叫び	さけび
裂ける	さける
捧げる	ささげる
差し掛かる	さしかかる
指図	さしず
差し出す	さしだす
差し支える	さしつかえる
差し引く	さしひく
些事	さじ
授ける	さずける
嘸	さぞ
定まる	さだまる
定める	さだめる
錯覚	さっかく
早急	さっきゅう
察する	さっする
	さっと
冊	さつ
殺人	さつじん
偖	さて
悟る	さとる
真実	さな
裁く	さばく
錆び	さび
左程	さほど
様	さま
三味線	さみせん
侍	さむらい
然も	さも
作用	さよう
左様なら	さようなら
拐う	さらう
爽やか	さわやか
障る	さわる
酸	さん
	さん
酸化	さんか
山岳	さんがく
産休	さんきゅう
桟橋	さんきょう
参議院	さんぎいん
産後	さんご
産出	さんしゅつ
参照	さんしょう
参上	さんじょう
賛成	さんせい
賛美	さんび
産婦人科	さんふじんか
産物	さんぶつ
山腹	さんぷく
山脈	さんみゃく
財	ざい
財源	ざいげん
在庫	ざいこ
財政	ざいせい
座談会	ざだんかい
雑貨	ざっか
雑	ざつ
雑談	ざつだん
雑木	ざつぼく
座標	ざひょう
残金	ざんきん
残酷	ざんこく
残高	ざんだか
死	し
	し
次	し
仕上がり	しあがり
仕上げ	しあげ
仕上げる	しあげる
明々後日	しあさって
飼育	しいく
強いて	しいて
強いる	しいる
仕入れる	しいれる
	しいんと
歯科	しか
資格	しかく
視覚	しかく
仕掛け	しかけ
仕掛ける	しかける
然し	しかし
然しながら	しかしながら
而も	しかも
市街	しがい
指揮	しき
色彩	しきさい
式場	しきじょう
為来り	しきたり
頻りに	しきりに
仕切る	しきる
資金	しきん
施行	しぎょう
	しくじる
仕組み	しくみ
死刑	しけい
湿気る	しける
思考	しこう
志向	しこう
嗜好	しこう
視察	しさつ
資産	しさん
刺繍	ししゅう
支持	しじ
指示	しじ
雫	しずく
沈める	しずめる
施設	しせつ
子息	しそく
慕う	したう
従って	したがって
下心	したごころ
親しむ	したしむ
下調べ	したしらべ
下地	したじ
認める	したためる
仕立てる	したてる
下取り	したどり
下火	したび
失格	しっかく
確り	しっかり
質素	しっそ
失調	しっちょう
嫉妬	しっと
尻尾	しっぽ
室	しつ
質疑	しつぎ
躾	しつけ
仕付ける	しつける
指摘	してき
視点	してん
萎びる	しなびる
嫋か	しなやか
屎尿	しにょう
凌ぐ	しのぐ
始発	しはつ
芝	しば
屡	しばしば
暫く	しばらく
痺れる	しびれる
渋い	しぶい
私物	しぶつ
	しぶとい
司法	しほう
脂肪	しぼう
志望	しぼう
萎む	しぼむ
仕舞	しまい
仕舞う	しまう
	しまった
始末	しまつ
泌み泌み	しみじみ
染みる	しみる
使命	しめい
締め切り	しめきり
僕	しもべ
社交	しゃこう
謝絶	しゃぜつ
社宅	しゃたく
吃逆	しゃっくり
喋る	しゃべる
斜面	しゃめん
洒落	しゃらく
洒落る	しゃれる
視野	しや
種	しゅ
衆	しゅう
周	しゅう
収益	しゅうえき
修学	しゅうがく
周期	しゅうき
衆議院	しゅうぎいん
就業	しゅうぎょう
修行	しゅうぎょう
集計	しゅうけい
襲撃	しゅうげき
収支	しゅうし
終始	しゅうし
修士	しゅうし
収集	しゅうしゅう
修飾	しゅうしょく
終日	しゅうじつ
執着	しゅうじゃく
収容	しゅうよう
修了	しゅうりょう
守衛	しゅえい
主演	しゅえん
主観	しゅかん
祝賀	しゅくが
宿命	しゅくめい
主権	しゅけん
手芸	しゅげい
主催	しゅさい
取材	しゅざい
趣旨	しゅし
主食	しゅしょく
主人公	しゅじんこう
主体	しゅたい
主題	しゅだい
出血	しゅっけつ
出産	しゅっさん
出社	しゅっしゃ
出生	しゅっしょう
出世	しゅっせ
出費	しゅっぴ
出品	しゅっぴん
出演	しゅつえん
出題	しゅつだい
出動	しゅつどう
主導	しゅどう
